image_name,vehicle_class,start_date,expiry_date,confidence
374035.jpg,A1,28.10.2021,28.10.2029,0.998333752155304
374035.jpg,A,28.10.2021,28.10.2029,0.9991002082824707
374035.jpg,B1,28.10.2021,28.10.2029,0.9954659938812256
374035.jpg,B,28.10.2021,28.10.2029,0.9904705286026001
374035.jpg,C1,,,0.9966263175010681
374035.jpg,C,,,0.817739725112915
374035.jpg,CE,,,0.9961211681365967
374035.jpg,D1,,,0.9980142116546631
374035.jpg,D,,,0.9974729418754578
374035.jpg,DE,,,0.9985634684562683
374035.jpg,G1,28.10.2021,28.10.2029,0.9982761144638062
374035.jpg,G,,,0.9964874982833862
374035.jpg,J,,,0.9907630085945129
